Date : 2025-09-07 08:10:45
Directory : c:\Users\piogi\OneDrive\Coding\Git\Adenai-Map
Total : 174 files,  43039 codes, 3088 comments, 6658 blanks, all 52785 lines

Languages
+--------------+------------+------------+------------+------------+------------+
| language     | files      | code       | comment    | blank      | total      |
| c:\Users\piogi\OneDrive\Coding\Git\Adenai-Map\docs\FILE_STRUCTURE.md                                          | Markdown     |        113 |          0 |         20 |        133 |
| c:\Users\piogi\OneDrive\Coding\Git\Adenai-Map\docs\FRESH_DATA_STRATEGY.md                                     | Markdown     |        156 |          0 |         34 |        190 |
| c:\Users\piogi\OneDrive\Coding\Git\Adenai-Map\docs\GLOBAL_CLUSTERING_SYSTEM.md                                | Markdown     |        146 |          0 |         52 |        198 |
| c:\Users\piogi\OneDrive\Coding\Git\Adenai-Map\docs\IMAGE_STORAGE_STRATEGY.md                                  | Markdown     |        167 |          0 |         35 |        202 |
| c:\Users\piogi\OneDrive\Coding\Git\Adenai-Map\docs\LOCATION_CLUSTERING_ENHANCEMENT.md                         | Markdown     |        118 |          0 |         35 |        153 |
| c:\Users\piogi\OneDrive\Coding\Git\Adenai-Map\docs\MEDIA_LIBRARY_MANAGEMENT.md                                | Markdown     |        146 |          0 |         28 |        174 |
| c:\Users\piogi\OneDrive\Coding\Git\Adenai-Map\docs\MOVEMENT_VISIBILITY_CONTROL.md                             | Markdown     |          0 |          0 |          1 |          1 |
| c:\Users\piogi\OneDrive\Coding\Git\Adenai-Map\docs\PHASE_5_OPTIMIZATION_SUMMARY.md                            | Markdown     |        135 |          0 |         42 |        177 |
| c:\Users\piogi\OneDrive\Coding\Git\Adenai-Map\docs\PHASE_6_PERFORMANCE_SUMMARY.md                             | Markdown     |        134 |          0 |         41 |        175 |
| c:\Users\piogi\OneDrive\Coding\Git\Adenai-Map\docs\PHASE_7_ADVANCED_LOADING_COMPLETE.md                       | Markdown     |        181 |          0 |         48 |        229 |
| c:\Users\piogi\OneDrive\Coding\Git\Adenai-Map\docs\PHASE_7_BUG_FIXES_COMPLETE.md                              | Markdown     |         75 |          0 |         26 |        101 |
| c:\Users\piogi\OneDrive\Coding\Git\Adenai-Map\docs\PHASE_8_BUNDLE_OPTIMIZATION_COMPLETE.md                    | Markdown     |        324 |          1 |         92 |        417 |
| c:\Users\piogi\OneDrive\Coding\Git\Adenai-Map\docs\STRUCTURE.md                                               | Markdown     |        110 |          9 |         31 |        150 |
| c:\Users\piogi\OneDrive\Coding\Git\Adenai-Map\index-optimized.html                                            | HTML         |        325 |         35 |         59 |        419 |
| c:\Users\piogi\OneDrive\Coding\Git\Adenai-Map\index.html                                                      | HTML         |        117 |         47 |         27 |        191 |
| c:\Users\piogi\OneDrive\Coding\Git\Adenai-Map\public\content\locations\aablank.html                           | HTML         |         10 |          0 |          1 |         11 |
| c:\Users\piogi\OneDrive\Coding\Git\Adenai-Map\public\content\locations\barbenfall.html                        | HTML         |         10 |          0 |          1 |         11 |
| c:\Users\piogi\OneDrive\Coding\Git\Adenai-Map\public\content\locations\basapo.html                            | HTML         |         26 |          0 |          4 |         30 |
| c:\Users\piogi\OneDrive\Coding\Git\Adenai-Map\public\content\locations\byrgenwerft.html                       | HTML         |         16 |          0 |          2 |         18 |
| c:\Users\piogi\OneDrive\Coding\Git\Adenai-Map\public\content\locations\donnermund.html                        | HTML         |         10 |          0 |          1 |         11 |
| c:\Users\piogi\OneDrive\Coding\Git\Adenai-Map\public\content\locations\elissastadt.html                       | HTML         |         10 |          0 |          1 |         11 |
| c:\Users\piogi\OneDrive\Coding\Git\Adenai-Map\public\content\locations\glesburg.html                          | HTML         |         10 |          0 |          1 |         11 |
| c:\Users\piogi\OneDrive\Coding\Git\Adenai-Map\public\content\locations\kalthar.html                           | HTML         |         10 |          0 |          1 |         11 |
| c:\Users\piogi\OneDrive\Coding\Git\Adenai-Map\public\content\locations\makir.html                             | HTML         |         10 |          0 |          1 |         11 |
| c:\Users\piogi\OneDrive\Coding\Git\Adenai-Map\public\content\locations\neudalen.html                          | HTML         |         10 |          0 |          1 |         11 |
| c:\Users\piogi\OneDrive\Coding\Git\Adenai-Map\public\content\locations\nordmund.html                          | HTML         |         10 |          0 |          1 |         11 |
| c:\Users\piogi\OneDrive\Coding\Git\Adenai-Map\public\content\locations\olecea.html                            | HTML         |         10 |          0 |          1 |         11 |
| c:\Users\piogi\OneDrive\Coding\Git\Adenai-Map\public\content\locations\rena.html                              | HTML         |         22 |          0 |          3 |         25 |
| c:\Users\piogi\OneDrive\Coding\Git\Adenai-Map\public\content\locations\valaris.html                           | HTML         |         33 |          0 |          4 |         37 |
| c:\Users\piogi\OneDrive\Coding\Git\Adenai-Map\public\content\locations\wesdalen.html                          | HTML         |         10 |          0 |          1 |         11 |
| c:\Users\piogi\OneDrive\Coding\Git\Adenai-Map\public\content\locations\yosefka_akademie.html                  | HTML         |         13 |          0 |          2 |         15 |
| c:\Users\piogi\OneDrive\Coding\Git\Adenai-Map\public\css\README.md                                            | Markdown     |        121 |          0 |         30 |        151 |
| c:\Users\piogi\OneDrive\Coding\Git\Adenai-Map\public\css\animations\effects.css                               | PostCSS      |         80 |          4 |          9 |         93 |
| c:\Users\piogi\OneDrive\Coding\Git\Adenai-Map\public\css\base\reset.css                                       | PostCSS      |         17 |          1 |          4 |         22 |
| c:\Users\piogi\OneDrive\Coding\Git\Adenai-Map\public\css\base\typography.css                                  | PostCSS      |         35 |          3 |          9 |         47 |
| c:\Users\piogi\OneDrive\Coding\Git\Adenai-Map\public\css\base\variables.css                                   | PostCSS      |         22 |          1 |          3 |         26 |
| c:\Users\piogi\OneDrive\Coding\Git\Adenai-Map\public\css\components\characters\character-panel.css            | PostCSS      |        557 |         37 |        100 |        694 |
| c:\Users\piogi\OneDrive\Coding\Git\Adenai-Map\public\css\components\characters\character-paths.css            | PostCSS      |        187 |          6 |         38 |        231 |
| c:\Users\piogi\OneDrive\Coding\Git\Adenai-Map\public\css\components\characters\character-system.css           | PostCSS      |        379 |         24 |         62 |        465 |
| c:\Users\piogi\OneDrive\Coding\Git\Adenai-Map\public\css\components\features\gallery.css                      | PostCSS      |        165 |          0 |         26 |        191 |
| c:\Users\piogi\OneDrive\Coding\Git\Adenai-Map\public\css\components\features\search.css                       | PostCSS      |        242 |          7 |         34 |        283 |
| c:\Users\piogi\OneDrive\Coding\Git\Adenai-Map\public\css\components\map\coordinates.css                       | PostCSS      |         61 |          3 |         11 |         75 |
| c:\Users\piogi\OneDrive\Coding\Git\Adenai-Map\public\css\components\map\map-core.css                          | PostCSS      |         31 |          3 |          7 |         41 |
| c:\Users\piogi\OneDrive\Coding\Git\Adenai-Map\public\css\components\movement\movement-markers.css             | PostCSS      |        166 |         21 |         31 |        218 |
| c:\Users\piogi\OneDrive\Coding\Git\Adenai-Map\public\css\components\ui\badges.css                             | PostCSS      |        104 |          8 |         23 |        135 |
| c:\Users\piogi\OneDrive\Coding\Git\Adenai-Map\public\css\components\ui\controls.css                           | PostCSS      |        318 |         31 |         55 |        404 |
| c:\Users\piogi\OneDrive\Coding\Git\Adenai-Map\public\css\components\ui\modals.css                             | PostCSS      |        301 |          8 |         50 |        359 |
| c:\Users\piogi\OneDrive\Coding\Git\Adenai-Map\public\css\components\ui\popups.css                             | PostCSS      |        397 |         12 |         76 |        485 |
| c:\Users\piogi\OneDrive\Coding\Git\Adenai-Map\public\css\layout\grid.css                                      | PostCSS      |         72 |          2 |         12 |         86 |
| c:\Users\piogi\OneDrive\Coding\Git\Adenai-Map\public\css\layout\responsive.css                                | PostCSS      |        106 |          6 |         26 |        138 |
| c:\Users\piogi\OneDrive\Coding\Git\Adenai-Map\public\css\styles.css                                           | PostCSS      |         20 |          7 |          6 |         33 |
| c:\Users\piogi\OneDrive\Coding\Git\Adenai-Map\public\css\themes\dark.css                                      | PostCSS      |          0 |          4 |          3 |          7 |
| c:\Users\piogi\OneDrive\Coding\Git\Adenai-Map\public\css\themes\light.css                                     | PostCSS      |          0 |          4 |          3 |          7 |
| c:\Users\piogi\OneDrive\Coding\Git\Adenai-Map\public\data\characters.json                                     | JSON         |      1,882 |          0 |          0 |      1,882 |
| c:\Users\piogi\OneDrive\Coding\Git\Adenai-Map\public\data\media-library.json                                  | JSON         |        120 |          0 |          1 |        121 |
| c:\Users\piogi\OneDrive\Coding\Git\Adenai-Map\public\data\places.geojson                                      | JSON         |      1,048 |          0 |          0 |      1,048 |
| c:\Users\piogi\OneDrive\Coding\Git\Adenai-Map\public\data\reviews.json                                        | JSON         |      5,232 |          0 |          0 |      5,232 |
| c:\Users\piogi\OneDrive\Coding\Git\Adenai-Map\public\icons\character.svg                                      | XML          |          5 |          0 |          0 |          5 |
| c:\Users\piogi\OneDrive\Coding\Git\Adenai-Map\public\icons\character_ally.svg                                 | XML          |          6 |          0 |          0 |          6 |
| c:\Users\piogi\OneDrive\Coding\Git\Adenai-Map\public\icons\character_enemy.svg                                | XML          |          6 |          0 |          0 |          6 |
| c:\Users\piogi\OneDrive\Coding\Git\Adenai-Map\public\icons\character_neutral.svg                              | XML          |          8 |          0 |          0 |          8 |
| c:\Users\piogi\OneDrive\Coding\Git\Adenai-Map\public\icons\dot_orange.svg                                     | XML          |         10 |          1 |          8 |         19 |
| c:\Users\piogi\OneDrive\Coding\Git\Adenai-Map\public\icons\dot_orange_dark.svg                                | XML          |         10 |          1 |          9 |         20 |
| c:\Users\piogi\OneDrive\Coding\Git\Adenai-Map\public\service-worker.js                                        | JavaScript   |        259 |         40 |         57 |        356 |
| c:\Users\piogi\OneDrive\Coding\Git\Adenai-Map\server\README.md                                                | Markdown     |        356 |          0 |        112 |        468 |
| c:\Users\piogi\OneDrive\Coding\Git\Adenai-Map\server\admin-interface\css\admin-overrides.css                  | PostCSS      |         69 |         13 |         17 |         99 |
| c:\Users\piogi\OneDrive\Coding\Git\Adenai-Map\server\admin-interface\css\core\base.css                        | PostCSS      |        184 |         18 |         42 |        244 |
| c:\Users\piogi\OneDrive\Coding\Git\Adenai-Map\server\admin-interface\css\core\card-grid.css                   | PostCSS      |        519 |         28 |         48 |        595 |
| c:\Users\piogi\OneDrive\Coding\Git\Adenai-Map\server\admin-interface\css\core\components.css                  | PostCSS      |        271 |         16 |         51 |        338 |
| c:\Users\piogi\OneDrive\Coding\Git\Adenai-Map\server\admin-interface\css\core\forms.css                       | PostCSS      |        253 |         21 |         42 |        316 |
| c:\Users\piogi\OneDrive\Coding\Git\Adenai-Map\server\admin-interface\css\core\image-popup.css                 | PostCSS      |         66 |          6 |          9 |         81 |
| c:\Users\piogi\OneDrive\Coding\Git\Adenai-Map\server\admin-interface\css\core\layout.css                      | PostCSS      |        283 |         23 |         58 |        364 |
| c:\Users\piogi\OneDrive\Coding\Git\Adenai-Map\server\admin-interface\css\core\modals.css                      | PostCSS      |        255 |         18 |         40 |        313 |
| c:\Users\piogi\OneDrive\Coding\Git\Adenai-Map\server\admin-interface\css\core\overrides.css                   | PostCSS      |         69 |         14 |         17 |        100 |
| c:\Users\piogi\OneDrive\Coding\Git\Adenai-Map\server\admin-interface\css\core\responsive.css                  | PostCSS      |        301 |         32 |         64 |        397 |
| c:\Users\piogi\OneDrive\Coding\Git\Adenai-Map\server\admin-interface\css\core\variables.css                   | PostCSS      |         95 |         15 |         12 |        122 |
| c:\Users\piogi\OneDrive\Coding\Git\Adenai-Map\server\admin-interface\css\modules\activity\activity.css        | PostCSS      |        264 |         12 |         62 |        338 |
| c:\Users\piogi\OneDrive\Coding\Git\Adenai-Map\server\admin-interface\css\modules\changelog\changelog.css      | PostCSS      |        299 |         42 |         58 |        399 |
| c:\Users\piogi\OneDrive\Coding\Git\Adenai-Map\server\admin-interface\css\modules\characters\movement.css      | PostCSS      |        538 |         20 |         96 |        654 |
| c:\Users\piogi\OneDrive\Coding\Git\Adenai-Map\server\admin-interface\css\modules\journeys\journey.css         | PostCSS      |        498 |         28 |         83 |        609 |
| c:\Users\piogi\OneDrive\Coding\Git\Adenai-Map\server\admin-interface\css\modules\journeys\summary.css         | PostCSS      |         89 |          6 |         16 |        111 |
| c:\Users\piogi\OneDrive\Coding\Git\Adenai-Map\server\admin-interface\css\modules\timeline\timeline.css        | PostCSS      |          0 |          0 |          1 |          1 |
| c:\Users\piogi\OneDrive\Coding\Git\Adenai-Map\server\admin-interface\index.html                               | HTML         |        469 |         62 |         69 |        600 |
| c:\Users\piogi\OneDrive\Coding\Git\Adenai-Map\server\admin-interface\js\core\auth.js                          | JavaScript   |        213 |         20 |         39 |        272 |
| c:\Users\piogi\OneDrive\Coding\Git\Adenai-Map\server\admin-interface\js\core\config.js                        | JavaScript   |        110 |         20 |         19 |        149 |
| c:\Users\piogi\OneDrive\Coding\Git\Adenai-Map\server\admin-interface\js\core\core.js                          | JavaScript   |        250 |         24 |         48 |        322 |
| c:\Users\piogi\OneDrive\Coding\Git\Adenai-Map\server\admin-interface\js\core\form-init.js                     | JavaScript   |        241 |         35 |         48 |        324 |
| c:\Users\piogi\OneDrive\Coding\Git\Adenai-Map\server\admin-interface\js\core\theme.js                         | JavaScript   |        181 |         21 |         37 |        239 |
| c:\Users\piogi\OneDrive\Coding\Git\Adenai-Map\server\admin-interface\js\core\ui.js                            | JavaScript   |        350 |         47 |         66 |        463 |
| c:\Users\piogi\OneDrive\Coding\Git\Adenai-Map\server\admin-interface\js\libs\leaflet.curve.min.js             | JavaScript   |        115 |         10 |         25 |        150 |
| c:\Users\piogi\OneDrive\Coding\Git\Adenai-Map\server\admin-interface\js\modules\activity\index.js             | JavaScript   |        353 |         26 |         50 |        429 |
| c:\Users\piogi\OneDrive\Coding\Git\Adenai-Map\server\admin-interface\js\modules\changelog\index.js            | JavaScript   |        552 |         17 |         50 |        619 |
| c:\Users\piogi\OneDrive\Coding\Git\Adenai-Map\server\admin-interface\js\modules\changelog\operations.js       | JavaScript   |        272 |          7 |         53 |        332 |
| c:\Users\piogi\OneDrive\Coding\Git\Adenai-Map\server\admin-interface\js\modules\characters\index.js           | JavaScript   |        340 |         32 |         87 |        459 |
| c:\Users\piogi\OneDrive\Coding\Git\Adenai-Map\server\admin-interface\js\modules\characters\map-integration.js | JavaScript   |          0 |          0 |          1 |          1 |
| c:\Users\piogi\OneDrive\Coding\Git\Adenai-Map\server\admin-interface\js\modules\characters\movements.js       | JavaScript   |        429 |         31 |         70 |        530 |
| c:\Users\piogi\OneDrive\Coding\Git\Adenai-Map\server\admin-interface\js\modules\characters\operations.js      | JavaScript   |        202 |         15 |         52 |        269 |
| c:\Users\piogi\OneDrive\Coding\Git\Adenai-Map\server\admin-interface\js\modules\characters\ui-fix.js          | JavaScript   |         29 |          6 |          4 |         39 |
| c:\Users\piogi\OneDrive\Coding\Git\Adenai-Map\server\admin-interface\js\modules\characters\ui.js              | JavaScript   |        352 |         39 |         71 |        462 |
| c:\Users\piogi\OneDrive\Coding\Git\Adenai-Map\server\admin-interface\js\modules\dynamics\index.js             | JavaScript   |        321 |         17 |         70 |        408 |
| c:\Users\piogi\OneDrive\Coding\Git\Adenai-Map\server\admin-interface\js\modules\journeys\index.js             | JavaScript   |        416 |          7 |         30 |        453 |
| c:\Users\piogi\OneDrive\Coding\Git\Adenai-Map\server\admin-interface\js\modules\journeys\map.js               | JavaScript   |        445 |         23 |         55 |        523 |
| c:\Users\piogi\OneDrive\Coding\Git\Adenai-Map\server\admin-interface\js\modules\journeys\operations.js        | JavaScript   |        312 |         16 |         84 |        412 |
| c:\Users\piogi\OneDrive\Coding\Git\Adenai-Map\server\admin-interface\js\modules\journeys\segments.js          | JavaScript   |        363 |          2 |          7 |        372 |
| c:\Users\piogi\OneDrive\Coding\Git\Adenai-Map\server\admin-interface\js\modules\locations\index.js            | JavaScript   |        224 |         33 |         64 |        321 |
| c:\Users\piogi\OneDrive\Coding\Git\Adenai-Map\server\admin-interface\js\modules\locations\operations.js       | JavaScript   |        224 |         18 |         56 |        298 |
| c:\Users\piogi\OneDrive\Coding\Git\Adenai-Map\server\admin-interface\js\modules\locations\ui.js               | JavaScript   |        321 |         16 |         49 |        386 |
| c:\Users\piogi\OneDrive\Coding\Git\Adenai-Map\server\admin-interface\js\modules\temporal\index.js             | JavaScript   |        321 |         17 |         70 |        408 |
| c:\Users\piogi\OneDrive\Coding\Git\Adenai-Map\server\admin-interface\js\modules\timeline\init.js              | JavaScript   |          0 |          0 |          1 |          1 |
| c:\Users\piogi\OneDrive\Coding\Git\Adenai-Map\server\admin-interface\js\modules\timeline\timeline.js          | JavaScript   |          0 |          0 |          1 |          1 |
| c:\Users\piogi\OneDrive\Coding\Git\Adenai-Map\server\deploy-from-github.sh                                    | Shell Script |         10 |          2 |          1 |         13 |
| c:\Users\piogi\OneDrive\Coding\Git\Adenai-Map\server\docs\API.md                                              | Markdown     |        180 |          0 |         29 |        209 |
| c:\Users\piogi\OneDrive\Coding\Git\Adenai-Map\server\docs\DEPLOYMENT.md                                       | Markdown     |        221 |          0 |         66 |        287 |
| c:\Users\piogi\OneDrive\Coding\Git\Adenai-Map\server\middleware\auth.js                                       | JavaScript   |         27 |          7 |          5 |         39 |
| c:\Users\piogi\OneDrive\Coding\Git\Adenai-Map\server\package.json                                             | JSON         |         29 |          0 |          1 |         30 |
| c:\Users\piogi\OneDrive\Coding\Git\Adenai-Map\server\routes\activity.js                                       | JavaScript   |        148 |         21 |         29 |        198 |
| c:\Users\piogi\OneDrive\Coding\Git\Adenai-Map\server\routes\auth.js                                           | JavaScript   |         57 |          5 |         12 |         74 |
| c:\Users\piogi\OneDrive\Coding\Git\Adenai-Map\server\routes\changelog.js                                      | JavaScript   |        383 |         47 |         67 |        497 |
| c:\Users\piogi\OneDrive\Coding\Git\Adenai-Map\server\routes\character-paths.js                                | JavaScript   |        229 |         25 |         43 |        297 |
| c:\Users\piogi\OneDrive\Coding\Git\Adenai-Map\server\routes\characters.js                                     | JavaScript   |      1,061 |        125 |        203 |      1,389 |
| c:\Users\piogi\OneDrive\Coding\Git\Adenai-Map\server\routes\config.js                                         | JavaScript   |        107 |          4 |          8 |        119 |
| c:\Users\piogi\OneDrive\Coding\Git\Adenai-Map\server\routes\dynamics.js                                       | JavaScript   |        389 |         15 |         45 |        449 |
| c:\Users\piogi\OneDrive\Coding\Git\Adenai-Map\server\routes\journey.js                                        | JavaScript   |        255 |         16 |         47 |        318 |
| c:\Users\piogi\OneDrive\Coding\Git\Adenai-Map\server\routes\locations.js                                      | JavaScript   |        341 |         54 |         67 |        462 |
| c:\Users\piogi\OneDrive\Coding\Git\Adenai-Map\server\routes\temporal-features.js                              | JavaScript   |        389 |         15 |         45 |        449 |
| c:\Users\piogi\OneDrive\Coding\Git\Adenai-Map\server\scripts\config.js                                        | JavaScript   |         98 |         14 |         17 |        129 |
| c:\Users\piogi\OneDrive\Coding\Git\Adenai-Map\server\scripts\journey.js                                       | JavaScript   |          0 |          2 |          2 |          4 |
| c:\Users\piogi\OneDrive\Coding\Git\Adenai-Map\server\scripts\sync-config-to-github.js                         | JavaScript   |         30 |          7 |         11 |         48 |
| c:\Users\piogi\OneDrive\Coding\Git\Adenai-Map\server\scripts\sync-config.js                                   | JavaScript   |         25 |          5 |         10 |         40 |
| c:\Users\piogi\OneDrive\Coding\Git\Adenai-Map\server\scripts\sync-to-main-site.js                             | JavaScript   |         32 |          6 |         11 |         49 |
| c:\Users\piogi\OneDrive\Coding\Git\Adenai-Map\server\server.js                                                | JavaScript   |        106 |         16 |         20 |        142 |
| c:\Users\piogi\OneDrive\Coding\Git\Adenai-Map\server\sync-to-github.sh                                        | Shell Script |         86 |         21 |         28 |        135 |
| c:\Users\piogi\OneDrive\Coding\Git\Adenai-Map\src\core\config.js                                              | JavaScript   |         98 |         28 |         17 |        143 |
| c:\Users\piogi\OneDrive\Coding\Git\Adenai-Map\src\core\main.js                                                | JavaScript   |        542 |         84 |        115 |        741 |
| c:\Users\piogi\OneDrive\Coding\Git\Adenai-Map\src\core\map-core.js                                            | JavaScript   |        289 |         47 |         68 |        404 |
| c:\Users\piogi\OneDrive\Coding\Git\Adenai-Map\src\systems\character-system.js                                 | JavaScript   |        554 |         83 |        100 |        737 |
| c:\Users\piogi\OneDrive\Coding\Git\Adenai-Map\src\systems\location-system.js                                  | JavaScript   |        855 |         79 |        119 |      1,053 |
| c:\Users\piogi\OneDrive\Coding\Git\Adenai-Map\src\systems\movement-system.js                                  | JavaScript   |        314 |         56 |         77 |        447 |
| c:\Users\piogi\OneDrive\Coding\Git\Adenai-Map\src\systems\search-system.js                                    | JavaScript   |        363 |         33 |         70 |        466 |
| c:\Users\piogi\OneDrive\Coding\Git\Adenai-Map\src\ui\components\character-panel.js                            | JavaScript   |        448 |         45 |         90 |        583 |
| c:\Users\piogi\OneDrive\Coding\Git\Adenai-Map\src\ui\components\coordinate-copy.js                            | JavaScript   |        177 |         27 |         37 |        241 |
| c:\Users\piogi\OneDrive\Coding\Git\Adenai-Map\src\ui\components\map-controls.js                               | JavaScript   |        150 |         27 |         40 |        217 |
| c:\Users\piogi\OneDrive\Coding\Git\Adenai-Map\src\ui\components\movement-markers.js                           | JavaScript   |        470 |         82 |         98 |        650 |
| c:\Users\piogi\OneDrive\Coding\Git\Adenai-Map\src\ui\components\movement-timeline-optimized.js                | JavaScript   |        322 |         21 |         55 |        398 |
| c:\Users\piogi\OneDrive\Coding\Git\Adenai-Map\src\ui\components\movement-timeline.js                          | JavaScript   |      1,347 |         91 |        168 |      1,606 |
